,              0,             10,             20,             30,             40,             50,             60,             70,             80,             90,            100,            110,            120,            130,            140,            150,            160,            170,            180,            190,            200,            210,            220,            230,            240,            250,            260,            270,            280,            290,            300,            310,            320,            330,            340,            350,            360,            370,            380,            390,            400,            410,            420,            430,            440,            450,            460,            470,            480,            490,            500,            510,            520,            530,            540,            550,            560,            570,            580,            590,            600
   5.0000000000,   0.6406332000,   0.5470948000,   0.2845049000,   0.5288501000,   0.5425267000,   0.4901894000,   0.4649948000,   0.4785953000,   0.4916295000,   0.4950975000,   0.4957580000,   0.4966988000,   0.4976430000,   0.4982067000,   0.4985356000,   0.4988010000,   0.4990285000,   0.4992029000,   0.4993306000,   0.4994279000,   0.4995056000,   0.4995689000,   0.4996214000,   0.4996661000,   0.4997048000,   0.4997387000,   0.4997684000,   0.4997947000,   0.4998178000,   0.4998383000,   0.4998563000,   0.4998723000,   0.4998865000,   0.4998990000,   0.4999101000,   0.4999199000,   0.4999286000,   0.4999363000,   0.4999432000,   0.4999493000,   0.4999547000,   0.4999597000,   0.4999642000,   0.4999685000,   0.4999728000,   0.4999775000,   0.4999832000,   0.4999910000,   0.5000028000,   0.5000220000,   0.5000548000,   0.5001121000,   0.5002132000,   0.5003931000,   0.5007142000,   0.5012885000,   0.5023170000,   0.5041610000,   0.5074724000,   0.5134326000,   0.5242023000
   5.5000000000,   0.5774987000,   0.2964380000,   0.1611084000,   0.3168256000,   0.3059158000,   0.2636599000,   0.2499843000,   0.2605039000,   0.2688059000,   0.2707036000,   0.2710380000,   0.2716282000,   0.2721850000,   0.2724839000,   0.2726449000,   0.2727750000,   0.2728825000,   0.2729567000,   0.2730032000,   0.2730333000,   0.2730537000,   0.2730678000,   0.2730777000,   0.2730852000,   0.2730911000,   0.2730961000,   0.2731002000,   0.2731037000,   0.2731067000,   0.2731093000,   0.2731115000,   0.2731134000,   0.2731150000,   0.2731163000,   0.2731174000,   0.2731184000,   0.2731192000,   0.2731198000,   0.2731203000,   0.2731208000,   0.2731212000,   0.2731215000,   0.2731219000,   0.2731224000,   0.2731231000,   0.2731243000,   0.2731263000,   0.2731299000,   0.2731363000,   0.2731478000,   0.2731684000,   0.2732054000,   0.2732716000,   0.2733902000,   0.2736027000,   0.2739836000,   0.2746668000,   0.2758934000,   0.2781003000,   0.2820852000,   0.2893259000
   6.0000000000,   0.5083265000,   0.1473193000,   0.0789602900,   0.1647118000,   0.1530113000,   0.1255157000,   0.1175925000,   0.1231822000,   0.1273994000,   0.1282003000,   0.1282553000,   0.1284995000,   0.1287409000,   0.1288542000,   0.1289059000,   0.1289509000,   0.1289898000,   0.1290145000,   0.1290271000,   0.1290330000,   0.1290352000,   0.1290353000,   0.1290342000,   0.1290326000,   0.1290311000,   0.1290297000,   0.1290284000,   0.1290273000,   0.1290265000,   0.1290257000,   0.1290251000,   0.1290246000,   0.1290242000,   0.1290239000,   0.1290236000,   0.1290234000,   0.1290233000,   0.1290232000,   0.1290231000,   0.1290231000,   0.1290231000,   0.1290231000,   0.1290232000,   0.1290234000,   0.1290237000,   0.1290243000,   0.1290254000,   0.1290272000,   0.1290306000,   0.1290366000,   0.1290474000,   0.1290667000,   0.1291011000,   0.1291629000,   0.1292735000,   0.1294717000,   0.1298272000,   0.1304660000,   0.1316165000,   0.1336982000,   0.1374946000
   6.5000000000,   0.4339104000,   0.0690985800,   0.0350911500,   0.0785685500,   0.0730196700,   0.0578028600,   0.0533215700,   0.0559411500,   0.0579872200,   0.0583576000,   0.0583651400,   0.0584791900,   0.0585986300,   0.0586564300,   0.0586850600,   0.0587120900,   0.0587372400,   0.0587556200,   0.0587677400,   0.0587760400,   0.0587819900,   0.0587862900,   0.0587894600,   0.0587919100,   0.0587939200,   0.0587956100,   0.0587970600,   0.0587983200,   0.0587994100,   0.0588003600,   0.0588012000,   0.0588019400,   0.0588025900,   0.0588031600,   0.0588036700,   0.0588041200,   0.0588045200,   0.0588048700,   0.0588051900,   0.0588054700,   0.0588057300,   0.0588059700,   0.0588062200,   0.0588064700,   0.0588067800,   0.0588071900,   0.0588077900,   0.0588087800,   0.0588104300,   0.0588133200,   0.0588184000,   0.0588274400,   0.0588435600,   0.0588723900,   0.0589239800,   0.0590164300,   0.0591822700,   0.0594802600,   0.0600172600,   0.0609898100,   0.0627667000
   7.0000000000,   0.3557017000,   0.0317444800,   0.0149757100,   0.0362441300,   0.0350211400,   0.0273587200,   0.0249100800,   0.0261157800,   0.0271210300,   0.0273049700,   0.0273012400,   0.0273522500,   0.0274091900,   0.0274361600,   0.0274486800,   0.0274610000,   0.0274731500,   0.0274824400,   0.0274888800,   0.0274935400,   0.0274970600,   0.0274997400,   0.0275018100,   0.0275034600,   0.0275048200,   0.0275059700,   0.0275069500,   0.0275077800,   0.0275084900,   0.0275090900,   0.0275096100,   0.0275100500,   0.0275104200,   0.0275107400,   0.0275110100,   0.0275112300,   0.0275114200,   0.0275115800,   0.0275117200,   0.0275118400,   0.0275119400,   0.0275120200,   0.0275121100,   0.0275122000,   0.0275123100,   0.0275124700,   0.0275127200,   0.0275131400,   0.0275138700,   0.0275151600,   0.0275174500,   0.0275215600,   0.0275289000,   0.0275420400,   0.0275655800,   0.0276077800,   0.0276835000,   0.0278195800,   0.0280648400,   0.0285091100,   0.0293211100
   7.5000000000,   0.2759467000,   0.0148072200,   0.0064573980,   0.0167917600,   0.0172239400,   0.0135320800,   0.0122168600,   0.0127809200,   0.0132834900,   0.0133745100,   0.0133656900,   0.0133854600,   0.0134102500,   0.0134204100,   0.0134232600,   0.0134263700,   0.0134299500,   0.0134325900,   0.0134341800,   0.0134351800,   0.0134358800,   0.0134363700,   0.0134367100,   0.0134369600,   0.0134371900,   0.0134373900,   0.0134375800,   0.0134377500,   0.0134379100,   0.0134380600,   0.0134382000,   0.0134383300,   0.0134384500,   0.0134385600,   0.0134386600,   0.0134387400,   0.0134388300,   0.0134389000,   0.0134389600,   0.0134390300,   0.0134390800,   0.0134391300,   0.0134391900,   0.0134392400,   0.0134393100,   0.0134393900,   0.0134395200,   0.0134397300,   0.0134400900,   0.0134407000,   0.0134417800,   0.0134437100,   0.0134471400,   0.0134532800,   0.0134642600,   0.0134839400,   0.0135192500,   0.0135826900,   0.0136970100,   0.0139040100,   0.0142821100
   8.0000000000,   0.1978054000,   0.0071760640,   0.0029003990,   0.0079514470,   0.0086389920,   0.0068830290,   0.0061842830,   0.0064509430,   0.0067036440,   0.0067491830,   0.0067424940,   0.0067511960,   0.0067634620,   0.0067683330,   0.0067692170,   0.0067701110,   0.0067712720,   0.0067720170,   0.0067722880,   0.0067723280,   0.0067722720,   0.0067721580,   0.0067720130,   0.0067718670,   0.0067717340,   0.0067716200,   0.0067715240,   0.0067714440,   0.0067713790,   0.0067713270,   0.0067712850,   0.0067712530,   0.0067712280,   0.0067712100,   0.0067711970,   0.0067711880,   0.0067711830,   0.0067711810,   0.0067711820,   0.0067711850,   0.0067711900,   0.0067711970,   0.0067712070,   0.0067712220,   0.0067712440,   0.0067712780,   0.0067713350,   0.0067714310,   0.0067715970,   0.0067718890,   0.0067724070,   0.0067733290,   0.0067749730,   0.0067779140,   0.0067831790,   0.0067926100,   0.0068095250,   0.0068399110,   0.0068946450,   0.0069937000,   0.0071744440
   8.5000000000,   0.1254328000,   0.0035976720,   0.0013582090,   0.0038135850,   0.0043030130,   0.0034707900,   0.0031082990,   0.0032305730,   0.0033536710,   0.0033761250,   0.0033730130,   0.0033782260,   0.0033856710,   0.0033894000,   0.0033908960,   0.0033921780,   0.0033934390,   0.0033943700,   0.0033949670,   0.0033953680,   0.0033956560,   0.0033958600,   0.0033960000,   0.0033960990,   0.0033961700,   0.0033962210,   0.0033962570,   0.0033962810,   0.0033962960,   0.0033963030,   0.0033963050,   0.0033963020,   0.0033962950,   0.0033962860,   0.0033962750,   0.0033962630,   0.0033962500,   0.0033962360,   0.0033962220,   0.0033962080,   0.0033961940,   0.0033961810,   0.0033961700,   0.0033961610,   0.0033961550,   0.0033961560,   0.0033961680,   0.0033962000,   0.0033962660,   0.0033963930,   0.0033966290,   0.0033970590,   0.0033978370,   0.0033992380,   0.0034017550,   0.0034062730,   0.0034143820,   0.0034289550,   0.0034552030,   0.0035026850,   0.0035892400
   9.0000000000,   0.0640159100,   0.0017479830,   0.0006280476,   0.0017446000,   0.0019913420,   0.0016164590,   0.0014435080,   0.0014934800,   0.0015467830,   0.0015559200,   0.0015540930,   0.0015564700,   0.0015601410,   0.0015622240,   0.0015632890,   0.0015642280,   0.0015651300,   0.0015658580,   0.0015664120,   0.0015668550,   0.0015672270,   0.0015675420,   0.0015678100,   0.0015680420,   0.0015682460,   0.0015684260,   0.0015685860,   0.0015687280,   0.0015688540,   0.0015689660,   0.0015690660,   0.0015691560,   0.0015692350,   0.0015693070,   0.0015693700,   0.0015694270,   0.0015694780,   0.0015695240,   0.0015695650,   0.0015696020,   0.0015696350,   0.0015696650,   0.0015696920,   0.0015697180,   0.0015697420,   0.0015697670,   0.0015697950,   0.0015698300,   0.0015698780,   0.0015699520,   0.0015700720,   0.0015702790,   0.0015706390,   0.0015712770,   0.0015724110,   0.0015744390,   0.0015780690,   0.0015845840,   0.0015963080,   0.0016175000,   0.0016560890
   9.5000000000,   0.0197777300,   0.0006397208,   0.0002264520,   0.0006040343,   0.0006838295,   0.0005575431,   0.0004976038,   0.0005125476,   0.0005291334,   0.0005313812,   0.0005301584,   0.0005304363,   0.0005312348,   0.0005315794,   0.0005316366,   0.0005316894,   0.0005317620,   0.0005318053,   0.0005318151,   0.0005318092,   0.0005317981,   0.0005317841,   0.0005317686,   0.0005317533,   0.0005317393,   0.0005317267,   0.0005317155,   0.0005317056,   0.0005316969,   0.0005316893,   0.0005316825,   0.0005316766,   0.0005316713,   0.0005316667,   0.0005316626,   0.0005316589,   0.0005316557,   0.0005316528,   0.0005316503,   0.0005316481,   0.0005316461,   0.0005316445,   0.0005316432,   0.0005316423,   0.0005316421,   0.0005316428,   0.0005316453,   0.0005316506,   0.0005316610,   0.0005316804,   0.0005317158,   0.0005317798,   0.0005318950,   0.0005321019,   0.0005324730,   0.0005331385,   0.0005343326,   0.0005364772,   0.0005403376,   0.0005473140,   0.0005600097
