              9,   0.0000000000,  -0.1187999000,   0.0838340000,  -0.1187999000,   0.0000000000,	              9,  -1.4985350000,  -0.1514938000,  -0.2997755000,   2.1007050000,   1.4985350000,	              9,   1.4985350000,   2.1007050000,  -0.2997755000,  -0.1514938000,  -1.4985350000,	              9,  -1.5000000000,  -0.2533043000,  -0.2368997000,   2.0243150000,   1.5000000000,	              9,   1.5000000000,   2.0243150000,  -0.2368997000,  -0.2533043000,  -1.5000000000,
             10,   0.0000000000,  -0.0441446000,   0.0875330000,  -0.0441446000,   0.0000000000,	             10,  -1.4992680000,  -0.2436260000,  -0.2341254000,   2.1266200000,   1.4992680000,	             10,   1.4992680000,   2.1266200000,  -0.2341254000,  -0.2436260000,  -1.4992680000,	             10,  -1.5000000000,  -0.3357582000,  -0.1684753000,   2.1525350000,   1.5000000000,	             10,   1.5000000000,   2.1525350000,  -0.1684753000,  -0.3357582000,  -1.5000000000,
             11,   0.0000000000,   0.0234440000,   0.0738990000,   0.0234440000,   0.0000000000,	             11,  -1.4996340000,  -0.3078828000,  -0.1787015000,   2.2260420000,   1.4996340000,	             11,   1.4996340000,   2.2260420000,  -0.1787015000,  -0.3078828000,  -1.4996340000,	             11,  -1.5000000000,  -0.3721396000,  -0.1232776000,   2.3254640000,   1.5000000000,	             11,   1.5000000000,   2.3254640000,  -0.1232776000,  -0.3721396000,  -1.5000000000,
             12,   0.0000000000,   0.0670390000,   0.0471090000,   0.0670390000,   0.0000000000,	             12,  -1.4998170000,  -0.3363377000,  -0.1433695000,   2.3550560000,   1.4998170000,	             12,   1.4998170000,   2.3550560000,  -0.1433695000,  -0.3363377000,  -1.4998170000,	             12,  -1.5000000000,  -0.3647927000,  -0.1080375000,   2.4840700000,   1.5000000000,	             12,   1.5000000000,   2.4840700000,  -0.1080375000,  -0.3647927000,  -1.5000000000,
             13,   0.0000000000,   0.0776600000,   0.0146630000,   0.0776600000,   0.0000000000,	             13,  -1.4999080000,  -0.3315949000,  -0.1323723000,   2.4668040000,   1.4999080000,	             13,   1.4999080000,   2.4668040000,  -0.1323723000,  -0.3315949000,  -1.4999080000,	             13,  -1.5000000000,  -0.3268521000,  -0.1213751000,   2.5785520000,   1.5000000000,	             13,   1.5000000000,   2.5785520000,  -0.1213751000,  -0.3268521000,  -1.5000000000,
             14,   0.0000000000,   0.0596540000,  -0.0140570000,   0.0596540000,   0.0000000000,	             14,  -1.4999540000,  -0.3051775000,  -0.1429151000,   2.5298670000,   1.4999540000,	             14,   1.4999540000,   2.5298670000,  -0.1429151000,  -0.3051775000,  -1.4999540000,	             14,  -1.5000000000,  -0.2787601000,  -0.1534578000,   2.5929310000,   1.5000000000,	             14,   1.5000000000,   2.5929310000,  -0.1534578000,  -0.2787601000,  -1.5000000000,
             15,   0.0000000000,   0.0282420000,  -0.0306691000,   0.0282420000,   0.0000000000,	             15,  -1.4999770000,  -0.2724101000,  -0.1659168000,   2.5394630000,   1.4999770000,	             15,   1.4999770000,   2.5394630000,  -0.1659168000,  -0.2724101000,  -1.4999770000,	             15,  -1.5000000000,  -0.2396427000,  -0.1889186000,   2.5490580000,   1.5000000000,	             15,   1.5000000000,   2.5490580000,  -0.1889186000,  -0.2396427000,  -1.5000000000,
             16,   0.0000000000,  -0.0007126000,  -0.0322843000,  -0.0007126000,   0.0000000000,	             16,  -1.4999890000,  -0.2458864000,  -0.1901301000,   2.5118700000,   1.4999890000,	             16,   1.4999890000,   2.5118700000,  -0.1901301000,  -0.2458864000,  -1.4999890000,	             16,  -1.5000000000,  -0.2193627000,  -0.2143433000,   2.4842770000,   1.5000000000,	             16,   1.5000000000,   2.4842770000,  -0.2143433000,  -0.2193627000,  -1.5000000000,
             17,   0.0000000000,  -0.0185860000,  -0.0227881000,  -0.0185860000,   0.0000000000,	             17,  -1.4999940000,  -0.2316617000,  -0.2072212000,   2.4697660000,   1.4999940000,	             17,   1.4999940000,   2.4697660000,  -0.2072212000,  -0.2316617000,  -1.4999940000,	             17,  -1.5000000000,  -0.2174370000,  -0.2243122000,   2.4276630000,   1.5000000000,	             17,   1.5000000000,   2.4276630000,  -0.2243122000,  -0.2174370000,  -1.5000000000,
             18,   0.0000000000,  -0.0243985000,  -0.0094966000,  -0.0243985000,   0.0000000000,	             18,  -1.4999970000,  -0.2295944000,  -0.2143436000,   2.4311010000,   1.4999970000,	             18,   1.4999970000,   2.4311010000,  -0.2143436000,  -0.2295944000,  -1.4999970000,	             18,  -1.5000000000,  -0.2275270000,  -0.2214661000,   2.3924360000,   1.5000000000,	             18,   1.5000000000,   2.3924360000,  -0.2214661000,  -0.2275270000,  -1.5000000000,
             19,   0.0000000000,  -0.0212382000,   0.0016460000,  -0.0212382000,   0.0000000000,	             19,  -1.4999990000,  -0.2359311000,  -0.2131093000,   2.4055810000,   1.4999990000,	             19,   1.4999990000,   2.4055810000,  -0.2131093000,  -0.2359311000,  -1.4999990000,	             19,  -1.5000000000,  -0.2422678000,  -0.2118749000,   2.3800600000,   1.5000000000,	             19,   1.5000000000,   2.3800600000,  -0.2118749000,  -0.2422678000,  -1.5000000000,
             20,   0.0000000000,  -0.0132408000,   0.0081260000,  -0.0132408000,   0.0000000000,	             20,  -1.4999990000,  -0.2458981000,  -0.2070145000,   2.3956860000,   1.4999990000,	             20,   1.4999990000,   2.3956860000,  -0.2070145000,  -0.2458981000,  -1.4999990000,	             20,  -1.5000000000,  -0.2558651000,  -0.2009197000,   2.3857920000,   1.5000000000,	             20,   1.5000000000,   2.3857920000,  -0.2009197000,  -0.2558651000,  -1.5000000000,
             21,   0.0000000000,  -0.0042097000,   0.0099710000,  -0.0042097000,   0.0000000000,	             21,  -1.5000000000,  -0.2554099000,  -0.1995366000,   2.3988840000,   1.5000000000,	             21,   1.5000000000,   2.3988840000,  -0.1995366000,  -0.2554099000,  -1.5000000000,	             21,  -1.5000000000,  -0.2649217000,  -0.1920587000,   2.4020810000,   1.5000000000,	             21,   1.5000000000,   2.4020810000,  -0.1920587000,  -0.2649217000,  -1.5000000000,
             22,   0.0000000000,   0.0030190000,   0.0083800000,   0.0030190000,   0.0000000000,	             22,  -1.5000000000,  -0.2619108000,  -0.1932516000,   2.4099120000,   1.5000000000,	             22,   1.5000000000,   2.4099120000,  -0.1932516000,  -0.2619108000,  -1.5000000000,	             22,  -1.5000000000,  -0.2684116000,  -0.1869666000,   2.4209410000,   1.5000000000,	             22,   1.5000000000,   2.4209410000,  -0.1869666000,  -0.2684116000,  -1.5000000000,
             23,   0.0000000000,   0.0069600000,   0.0049570000,   0.0069600000,   0.0000000000,	             23,  -1.5000000000,  -0.2645487000,  -0.1895339000,   2.4229900000,   1.5000000000,	             23,   1.5000000000,   2.4229900000,  -0.1895339000,  -0.2645487000,  -1.5000000000,	             23,  -1.5000000000,  -0.2671867000,  -0.1858162000,   2.4360680000,   1.5000000000,	             23,   1.5000000000,   2.4360680000,  -0.1858162000,  -0.2671867000,  -1.5000000000,
             24,   0.0000000000,   0.0075290000,   0.0012500000,   0.0075290000,   0.0000000000,	             24,  -1.5000000000,  -0.2638622000,  -0.1885966000,   2.4335970000,   1.5000000000,	             24,   1.5000000000,   2.4335970000,  -0.1885966000,  -0.2638622000,  -1.5000000000,	             24,  -1.5000000000,  -0.2631757000,  -0.1876592000,   2.4442050000,   1.5000000000,	             24,   1.5000000000,   2.4442050000,  -0.1876592000,  -0.2631757000,  -1.5000000000,
             25,   0.0000000000,   0.0056780000,  -0.0015892000,   0.0056780000,   0.0000000000,	             25,  -1.5000000000,  -0.2611801000,  -0.1897884000,   2.4394330000,   1.5000000000,	             25,   1.5000000000,   2.4394330000,  -0.1897884000,  -0.2611801000,  -1.5000000000,	             25,  -1.5000000000,  -0.2584979000,  -0.1909803000,   2.4452680000,   1.5000000000,	             25,   1.5000000000,   2.4452680000,  -0.1909803000,  -0.2584979000,  -1.5000000000,
             26,   0.0000000000,   0.0027830000,  -0.0030090000,   0.0027830000,   0.0000000000,	             26,  -1.5000000000,  -0.2579730000,  -0.1920452000,   2.4404010000,   1.5000000000,	             26,   1.5000000000,   2.4404010000,  -0.1920452000,  -0.2579730000,  -1.5000000000,	             26,  -1.5000000000,  -0.2547658000,  -0.1943019000,   2.4413690000,   1.5000000000,	             26,   1.5000000000,   2.4413690000,  -0.1943019000,  -0.2547658000,  -1.5000000000,
             27,   0.0000000000,   0.0000690000,  -0.0030575000,   0.0000690000,   0.0000000000,	             27,  -1.5000000000,  -0.2553658000,  -0.1943383000,   2.4378970000,   1.5000000000,	             27,   1.5000000000,   2.4378970000,  -0.1943383000,  -0.2553658000,  -1.5000000000,	             27,  -1.5000000000,  -0.2527587000,  -0.1966314000,   2.4353930000,   1.5000000000,	             27,   1.5000000000,   2.4353930000,  -0.1966314000,  -0.2527587000,  -1.5000000000,
             28,   0.0000000000,  -0.0017257000,  -0.0021856000,  -0.0017257000,   0.0000000000,	             28,  -1.5000000000,  -0.2539185000,  -0.1959775000,   2.4338610000,   1.5000000000,	             28,   1.5000000000,   2.4338610000,  -0.1959775000,  -0.2539185000,  -1.5000000000,	             28,  -1.5000000000,  -0.2524712000,  -0.1976168000,   2.4298250000,   1.5000000000,	             28,   1.5000000000,   2.4298250000,  -0.1976168000,  -0.2524712000,  -1.5000000000,
             29,   0.0000000000,  -0.0023958000,  -0.0009714000,  -0.0023958000,   0.0000000000,	             29,  -1.5000000000,  -0.2536552000,  -0.1967061000,   2.4300040000,   1.5000000000,	             29,   1.5000000000,   2.4300040000,  -0.1967061000,  -0.2536552000,  -1.5000000000,	             29,  -1.5000000000,  -0.2533919000,  -0.1974347000,   2.4261470000,   1.5000000000,	             29,   1.5000000000,   2.4261470000,  -0.1974347000,  -0.2533919000,  -1.5000000000,
             30,   0.0000000000,  -0.0021373000,   0.0001070000,  -0.0021373000,   0.0000000000,	             30,  -1.5000000000,  -0.2542448000,  -0.1966261000,   2.4273880000,   1.5000000000,	             30,   1.5000000000,   2.4273880000,  -0.1966261000,  -0.2542448000,  -1.5000000000,	             30,  -1.5000000000,  -0.2548344000,  -0.1965462000,   2.4247710000,   1.5000000000,	             30,   1.5000000000,   2.4247710000,  -0.1965462000,  -0.2548344000,  -1.5000000000,
             31,   0.0000000000,  -0.0013460000,   0.0007800000,  -0.0013460000,   0.0000000000,	             31,  -1.5000000000,  -0.2552220000,  -0.1960409000,   2.4263460000,   1.5000000000,	             31,   1.5000000000,   2.4263460000,  -0.1960409000,  -0.2552220000,  -1.5000000000,	             31,  -1.5000000000,  -0.2561992000,  -0.1954557000,   2.4253040000,   1.5000000000,	             31,   1.5000000000,   2.4253040000,  -0.1954557000,  -0.2561992000,  -1.5000000000,
             32,   0.0000000000,  -0.0004340000,   0.0009940000,  -0.0004340000,   0.0000000000,	             32,  -1.5000000000,  -0.2561690000,  -0.1952951000,   2.4266420000,   1.5000000000,	             32,   1.5000000000,   2.4266420000,  -0.1952951000,  -0.2561690000,  -1.5000000000,	             32,  -1.5000000000,  -0.2571161000,  -0.1945493000,   2.4269380000,   1.5000000000,	             32,   1.5000000000,   2.4269380000,  -0.1945493000,  -0.2571161000,  -1.5000000000,
             33,   0.0000000000,   0.0002920000,   0.0008460000,   0.0002920000,   0.0000000000,	             33,  -1.5000000000,  -0.2568203000,  -0.1946609000,   2.4277320000,   1.5000000000,	             33,   1.5000000000,   2.4277320000,  -0.1946609000,  -0.2568203000,  -1.5000000000,	             33,  -1.5000000000,  -0.2574716000,  -0.1940266000,   2.4288220000,   1.5000000000,	             33,   1.5000000000,   2.4288220000,  -0.1940266000,  -0.2574716000,  -1.5000000000,
